Change Physical Footprint: Designator=A1 Old Footprint=ANT-Rainsun-AN5120 New Footprint=ANT-Rainsun-AN5120
Change Physical Footprint: Designator=C1 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C2 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C3 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C4 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C5 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C6 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C7 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C8 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=C9 Old Footprint=CAP_0603 New Footprint=CAP_0603
Change Physical Footprint: Designator=K1 Old Footprint=Button New Footprint=Button
Change Physical Footprint: Designator=K2 Old Footprint=Button New Footprint=Button
Change Physical Footprint: Designator=K3 Old Footprint=Button New Footprint=Button
Change Physical Footprint: Designator=K4 Old Footprint=Button New Footprint=Button
Change Physical Footprint: Designator=LCD1 Old Footprint=IPS130-12 New Footprint=IPS130-12
Change Physical Footprint: Designator=R1 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R2 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R3 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R4 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R5 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R6 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R7 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R8 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R9 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R10 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=R11 Old Footprint=RES_0603 New Footprint=RES_0603
Change Physical Footprint: Designator=U1 Old Footprint=ESP32-Pico New Footprint=ESP32-Pico
Change Physical Footprint: Designator=U2 Old Footprint=LP2992 New Footprint=LP2992
Change Physical Footprint: Designator=U3 Old Footprint=CP2102 New Footprint=CP2102
Change Physical Footprint: Designator=USB1 Old Footprint=TYPE-C New Footprint=TYPE-C
Change Physical Footprint: Designator=VT1 Old Footprint=s8050 New Footprint=s8050
Change Physical Footprint: Designator=VT2 Old Footprint=s8050 New Footprint=s8050
Change Physical Footprint: Designator=VT3 Old Footprint=s8050 New Footprint=s8050
